Tarih,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,HKI
9/4/2019,28.24367305902783,10.854431883884358,2.9878036898148106,17.397158090976102,21.874123529061464,4.061162181623933,80.11948971240949,26.159912537878732,2.0459000402203817,75.30371574999958,1003.9224752272689,1.0
9/3/2019,27.16264319360336,10.845467831168818,3.3174205004629664,16.951892234043978,21.204334088464037,3.9421271915598566,77.023248334692,25.834532954545363,2.096332075826445,74.68849775000031,1004.0527597002726,1.0
9/2/2019,27.599769817783702,10.847820162424332,2.9036438744967885,17.056403730685638,21.65530567337557,4.0399546530982615,72.872451726902,26.038155037878642,1.8409070091597908,78.06772254166691,1004.2240741288035,1.0
9/1/2019,27.539867599939445,10.842987600378757,3.700923249074089,16.779621771348925,21.812828571526307,4.137885270493371,64.50972771218301,25.063833428853822,1.5779746712645275,78.2577516105068,1003.2466992852444,1.0
8/31/2019,22.82059313888875,10.824172189015183,3.4332245055555557,15.447167137095953,20.15197554274477,3.9182541239316455,63.07810035711039,24.280373295454453,1.703881512190082,75.94470041666662,1006.7527333333272,1.0
8/30/2019,26.355615871527828,10.821759050378816,2.83701982083334,17.112595246460458,22.700915852806112,4.703544257264972,68.569987838768,26.10431545454545,1.7087446917355336,78.7175840000003,1008.7876026449127,1.0
8/29/2019,25.2507857225241,10.827974530681761,3.273886940740756,16.02319999766778,20.496280313306233,3.981751922008544,79.06157524909412,25.757881080368914,1.9601403651709728,77.7170916739129,1008.5824664064515,1.0
8/28/2019,23.872587814089197,10.831113848094613,3.033254067382118,11.694594958025467,15.056624399944305,2.64106781249073,78.71656602777789,25.52803511363636,2.4037966280991734,77.57657974999988,1009.3322829166764,1.0
8/27/2019,26.186214078653393,10.832338877399023,2.8852602374158263,12.894767106800408,16.182086252508274,2.7632361732208897,74.89782896127713,26.269113446969644,2.123574965869213,79.34113287499949,1008.8589439394,1.0
8/26/2019,30.553519586309555,10.852176471717325,2.8544997142676696,13.953993436134406,18.055279471850586,3.3578501778056187,71.80750992595101,27.12231431818164,1.9498762443181756,80.98687266666708,1008.1093927272854,1.0
8/25/2019,32.29751773263897,10.847431444444474,2.9176549176493256,13.860737912435384,18.300789781075853,3.3351212322649317,66.69699209239124,26.438666969696907,1.565221671212121,81.11697583333361,1008.141302840909,1.0
8/24/2019,38.165853328914146,10.837272438979051,3.1335945471380584,18.688249659573536,26.117978725334464,5.695945656944431,64.36173334611749,27.83562125000009,1.4586517630270055,83.69019158712119,1009.6214140564799,1.0
8/23/2019,38.09140807670469,10.841288414141443,3.66989584317267,20.405016164367282,28.257888111064617,6.068729837239889,57.24814579393124,27.54603011363637,1.6180588309808634,84.98085349999958,1009.4799082196963,1.0
8/22/2019,34.525582290337354,10.852002072976727,3.9048321408808575,24.920982358751363,34.40153813754177,7.157313021275952,63.37814654587201,28.87627341850163,1.9849392909090868,86.4181981242239,1008.1431423630679,1.0
8/21/2019,23.754373908984018,10.819454975383243,2.8717333762443147,31.571281065417185,46.54484229970648,10.619158711149934,42.02299098856511,29.10962171503345,1.330610457405952,91.0902039844588,1008.8968411088063,1.0
8/20/2019,19.051983040784517,10.834117232231279,3.065639308122903,18.955004155389144,24.502895184047798,5.709137345447358,60.94317366746964,25.840580684620086,1.5072644695605208,79.24632398757728,1010.333420167978,1.0
8/19/2019,18.22088989494129,10.811799758884266,3.1845990921296368,18.840920216081408,28.531955403112683,8.556304007905949,57.498528485863,27.461838174242363,1.7955125842286483,77.9205575000001,1009.197697462122,1.0
8/18/2019,17.120236260101077,10.796694209848456,4.525900860648148,22.07778424616766,26.089475270484968,4.760383800213697,57.436354036458255,23.19734405303027,1.3710336163567465,85.5170527916663,1007.3715880303056,1.0
8/17/2019,16.997851998537975,10.814060904665123,2.958430106642512,20.28238148095024,24.881801434375426,5.0996609623639975,53.36941171543563,24.150932121212183,1.6219392128787873,88.94495570833332,1004.8433619697,1.0
8/16/2019,19.92937906944448,10.811898025000062,2.7329043914021174,17.60769070292131,20.240180132259106,3.855854652401497,54.411025140398614,25.468055645586187,1.4703229560331528,88.4977362445655,1003.0817585194327,1.0
8/15/2019,26.427142298611216,10.808247527651485,3.6792532268518583,21.722673397798186,27.795951684782533,5.843542999572646,48.062871005208386,28.352108598484808,1.3528696541666698,85.08689870833331,999.1977804924397,1.0
8/14/2019,25.987223874999966,10.834421645454517,4.454963127525259,15.990336073324043,19.312629905041693,3.1835073852869247,85.43938916666688,26.519687310606088,1.3831395737554146,76.4789719583336,999.5861776894028,1.0
8/13/2019,21.255333194444393,10.847720620833273,4.3160835421296815,11.853388421404677,14.520827702041734,2.557156262964523,84.49636260416662,24.533267234848463,1.7381802756597002,73.41494779166649,1002.3936203787883,1.0
8/12/2019,20.87236443055548,10.851523635606029,3.649405736574104,11.79524798345481,14.346483864164677,2.372579222358907,86.18172515625014,24.852642840909187,2.2458497140151428,71.3852457916669,1006.1211047348544,1.0
8/11/2019,18.370172468750056,10.859743098863637,3.0050890092592586,11.164406197394099,14.970525856715286,3.1015104313731228,77.8725828125,25.288159772727276,2.279754598484836,75.22135649999959,1007.7625545075788,1.0
8/10/2019,21.384950835899726,10.848409727651484,3.062247307407417,14.158153897262745,18.92478459793207,4.01997805484651,76.24969771875001,26.17931977272728,1.9152445409090757,75.26708812500041,1006.1216840991426,1.0
8/9/2019,22.10560610957797,10.840898651849182,3.8102474309460472,16.150631869802233,21.40476846042361,4.407271945837946,71.13583216983727,27.356333272727277,1.840752064772721,74.72232811666689,1003.9843785191072,1.0
8/8/2019,22.23907410416672,10.833798001515119,4.781627292652937,21.036403636454867,27.291759284699026,5.898774322329,68.99150828125,28.807657121212177,1.5498626977272791,72.0274647916664,1005.8264001515117,1.0
8/7/2019,20.19602655208339,10.840791281439333,3.8727196254629472,17.257807957091124,22.512093166264386,4.853063900233599,69.14245438541676,26.088561536796732,2.066993417803027,66.2602620000004,1008.336820871212,1.0
8/6/2019,20.531099067783973,10.856518571591003,3.1283686314814805,16.839721261635987,22.209882169549,5.087637188535833,69.300841875,25.965993257575725,1.9628543378787882,67.4022821249999,1007.2207945783954,1.0
8/5/2019,18.834433895037282,10.862408036363576,2.6691680944444585,16.40377100140881,21.696594102887527,5.0061739410936035,64.14151035714275,26.13157999999991,1.809924052272721,69.90784749999999,1005.6037832196907,1.0
8/4/2019,23.35544876001464,10.870859300728078,3.6699864305555594,18.64318917011571,23.30938843337689,5.100998336459115,73.37292601685425,26.454029512987,1.9607508041666728,72.42441764285691,999.9021297781456,1.0
8/3/2019,20.634957851970807,10.870689160984757,7.093872002777706,28.742353944147094,34.204416104096865,6.5602461041434585,68.43195434692026,29.655755477602096,1.325076738153558,72.20594407789889,998.4525298089608,1.0
8/2/2019,28.025824881313138,10.873610892473726,3.1011574305555585,21.908467111719517,24.765143337142252,4.888521442173007,66.38296083627725,27.695307014462728,1.4878223933638317,78.22845224621238,1002.9016128615754,1.0
8/1/2019,26.923516102204218,10.87527386780297,3.6420808664653808,16.40545155552735,22.525512154070018,4.977855686431568,72.70720941714025,28.33884040019764,1.6989505874341182,73.38626273369559,1001.4884493758271,1.0
7/31/2019,23.161050688657394,10.877338809307306,3.8013315597222483,16.46989864548495,19.47779813258307,4.257424893650108,65.236373156703,28.023898616600718,1.5373520895785688,74.511443835145,1000.2705131077182,1.0
7/30/2019,27.759661483997558,10.874277948188453,3.8106659833333216,19.403422895719913,23.42327849453625,4.638530270195719,66.38280062452661,27.73222918995873,1.3127349092061908,78.7236917210148,997.0990385754374,1.0
7/29/2019,29.51388737167864,10.864870600675141,6.5958726671297025,21.260707304055213,26.18681013732649,5.214885642967289,72.50130802083338,29.384885553030358,1.44429229177488,76.3348818333337,995.7694206439518,1.0
7/28/2019,24.300895150966138,10.85347871590918,4.584785347685184,15.76403230185343,19.67736162124946,3.3762485216323204,73.63401306770838,26.01174185606073,1.483434119949488,76.38878695833299,998.4152996591,1.0
7/27/2019,23.65408415277789,10.857880076136274,4.6422313916666855,19.18939737760592,26.182464026907212,5.241801460916023,64.99818466666676,27.406304204545545,1.920963442424239,75.274745791667,999.286503636369,1.0
7/26/2019,23.95422538613806,10.865474367045424,4.814777401388897,21.05205108060189,27.54052007302473,5.8676434957544235,62.73600678600538,27.33974079545445,1.7950742609848571,73.93799554166709,1004.9035473863727,1.0
7/25/2019,21.734143930555724,10.85901576011909,4.8675804587963025,25.18712800564385,37.92194101845363,7.698053622677407,59.86013297023813,26.801093522727275,1.3837871393939336,76.96806062499998,1008.3336413636329,1.0
7/24/2019,20.26081865866553,10.852014353030212,3.0124925509259373,21.921323525125494,32.67087985741223,5.57158021274157,66.86058823958325,25.532536824769544,1.4041818255854,83.34842275,1004.277265871212,1.0
7/23/2019,29.716671791889144,10.851373700358911,3.6293018622016917,19.19779630082227,31.225936721502887,4.949873023251858,74.1387743412825,26.361150144692267,1.5528931632646426,77.3931882471536,1005.9645529488972,1.0
7/22/2019,27.08589496074889,10.873112411742456,3.721185505015711,19.84408704232179,31.734324387314388,5.0879183287951,73.15675024682963,26.438347152503184,1.7627289713438792,74.68578614855048,1009.327889484518,1.0
7/21/2019,27.813149818085734,10.877153330681935,2.738410925359447,17.964520759398845,27.90961400222289,3.651079631021667,78.97259689285711,24.892040771349823,1.9015141318864155,74.18925460119019,1010.5981509956636,1.0
7/20/2019,26.43161420380431,10.872674513257575,3.11635286050724,19.11677677564769,31.46402909501068,5.298129503082404,75.90295550520838,26.23249034090909,2.00413080023057,77.83139416666691,1008.7418641287753,1.0
7/19/2019,22.49655887635873,10.86710046780315,3.3887302176621272,18.377409705173992,35.809515318911885,8.490371975810458,67.32370579450762,26.984174420289822,2.02683762096507,75.80350993297102,1007.1480011281365,1.0
7/18/2019,21.466685504677727,10.863173127164423,3.038506815136864,23.432417759560884,46.06976898143986,11.890465561311315,57.79199663716349,28.389024899885644,1.3363008957076494,83.35985808056792,1001.8404401426793,1.0
7/17/2019,18.844745871527888,10.865800409090939,3.667055057729464,25.302360016366386,44.964810791868665,9.524712462218336,58.760770776041745,25.725840198274643,1.5300154283492922,88.49030372368459,998.7935158771936,1.0
7/16/2019,19.65373284039344,10.867328369657182,4.024564729025808,17.3095416163103,38.47815176282058,8.561439304368319,59.70982828603,26.86378064593291,1.6650243523506645,77.77513822368421,1000.8865027332644,1.0
